YEAR,SERIAL,MONTH,CPSID,ASECFLAG,ASECWTH,STATEFIP,METAREA,PERNUM,CPSIDV,CPSIDP,ASECWT,AGE,SEX,RACE,IND,EDUC,INCTOT
2015,58253,3,0,1,1627.59,47,9998,1,0,0,1627.59,53,2,200,8390,91,43691
2015,58253,3,0,1,1627.59,47,9998,2,0,0,1569.18,18,1,200,5380,73,5302
2015,58254,3,0,1,2104.77,47,9998,1,0,0,2104.77,44,2,200,0,73,10332
2015,58254,3,0,1,2104.77,47,9998,2,0,0,2198.44,16,2,200,0,50,2640
2015,58255,3,2.01503E+13,1,1280.4,47,9998,1,2.01503E+14,2.01503E+13,1280.4,50,2,100,7860,123,50126
2015,58255,3,2.01503E+13,1,1280.4,47,9998,2,2.01503E+14,2.01503E+13,1280.4,48,1,100,470,73,50000
2015,58255,3,2.01503E+13,1,1280.4,47,9998,3,2.01503E+14,2.01503E+13,2150.12,23,1,100,470,81,31000
2015,58255,3,2.01503E+13,1,1280.4,47,9998,4,2.01503E+14,2.01503E+13,1777.78,15,1,100,0,30,0
2015,58256,3,2.01501E+13,1,2598.63,47,9998,1,2.01501E+14,2.01501E+13,2598.63,77,1,100,0,30,15615
2015,58264,3,2.01412E+13,1,2472.22,47,9998,1,2.01412E+14,2.01412E+13,2472.22,55,1,100,2870,73,40050
2015,58264,3,2.01412E+13,1,2472.22,47,9998,2,2.01412E+14,2.01412E+13,2472.22,51,2,100,7970,73,23050
2015,58265,3,2.01412E+13,1,2472.22,47,9998,1,2.01412E+14,2.01412E+13,2472.22,54,2,100,0,73,11105
2015,58265,3,2.01412E+13,1,2472.22,47,9998,2,2.01412E+14,2.01412E+13,2472.22,51,1,100,570,73,38497
2015,58266,3,2.01503E+13,1,1308.65,47,9998,1,2.01503E+14,2.01503E+13,1308.65,39,2,100,0,60,0
2015,58266,3,2.01503E+13,1,1308.65,47,9998,2,2.01503E+14,2.01503E+13,1308.65,40,1,100,770,60,25000
2015,58266,3,2.01503E+13,1,1308.65,47,9998,3,2.01503E+14,2.01503E+13,1501.15,18,2,100,0,71,0
2015,58266,3,2.01503E+13,1,1308.65,47,9998,4,2.01503E+14,2.01503E+13,1501.15,16,2,100,0,60,0
2015,58267,3,2.01501E+13,1,2335.72,47,9998,1,2.01501E+14,2.01501E+13,2335.72,52,1,100,5380,60,35011
2015,58268,3,2.01501E+13,1,2417.2,47,9998,1,2.01501E+14,2.01501E+13,2417.2,60,1,100,0,73,8035
2015,58268,3,2.01501E+13,1,2417.2,47,9998,2,2.01501E+14,2.01501E+13,2417.2,57,2,100,8470,111,1692
2015,58268,3,2.01501E+13,1,2417.2,47,9998,3,2.01501E+14,2.01501E+13,2729.02,21,1,100,0,81,8000
2015,58268,3,2.01501E+13,1,2417.2,47,9998,4,2.01501E+14,2.01501E+13,2700.98,19,2,100,0,81,1000
2015,58269,3,2.01412E+13,1,2467.31,47,9998,1,2.01412E+14,2.01412E+13,2467.31,63,1,100,0,81,32630
2015,58269,3,2.01412E+13,1,2467.31,47,9998,2,2.01412E+14,2.01412E+13,2467.31,57,2,100,0,92,14766
2015,58270,3,2.01412E+13,1,2796.21,47,9998,1,2.01412E+14,2.01412E+13,2796.21,31,1,100,3570,81,10000
2015,58271,3,2.01412E+13,1,2571.6,47,9998,1,2.01412E+14,2.01412E+13,2571.6,44,2,100,8980,73,20020
2015,58271,3,2.01412E+13,1,2571.6,47,9998,2,2.01412E+14,2.01412E+13,3078.24,20,1,100,0,81,5454
2015,58272,3,2.01501E+13,1,2598.63,47,9998,1,2.01501E+14,2.01501E+13,2598.63,80,1,100,0,73,18659
2015,58274,3,2.01501E+13,1,2216.82,47,9998,1,2.01501E+14,2.01501E+13,2216.82,72,1,100,0,73,27231
2015,58274,3,2.01501E+13,1,2216.82,47,9998,2,2.01501E+14,2.01501E+13,2216.82,66,2,100,5380,73,23459
2015,58275,3,2.01502E+13,1,2519.84,47,9998,1,2.01502E+14,2.01502E+13,2519.84,75,1,100,0,20,13447
2015,58276,3,2.01501E+13,1,2406.86,47,9998,1,2.01501E+14,2.01501E+13,2406.86,51,2,100,4970,73,14375
2015,58277,3,2.01501E+13,1,2404.38,47,9998,1,2.01501E+14,2.01501E+13,2404.38,73,2,100,0,40,11160
2015,58278,3,2.01502E+13,1,2229.96,47,9998,1,2.01502E+14,2.01502E+13,2229.96,68,2,100,0,10,9060
2015,58279,3,2.01502E+13,1,2849.2,47,9998,1,2.01502E+14,2.01502E+13,2849.2,65,1,100,0,73,12828
2015,58280,3,2.01501E+13,1,2436.57,47,9998,1,2.01501E+14,2.01501E+13,2436.57,75,2,100,0,40,16800
2015,58281,3,2.01501E+13,1,2216.82,47,9998,1,2.01501E+14,2.01501E+13,2216.82,73,1,100,0,73,14789
2015,58281,3,2.01501E+13,1,2216.82,47,9998,2,2.01501E+14,2.01501E+13,2216.82,65,2,100,9290,60,9200
2015,58282,3,2.01412E+13,1,1602.87,47,9998,1,2.01412E+14,2.01412E+13,1602.87,34,2,100,8190,91,1400
2015,58282,3,2.01412E+13,1,1602.87,47,9998,2,2.01412E+14,2.01412E+13,1602.87,35,1,100,9470,73,45000
2015,58282,3,2.01412E+13,1,1602.87,47,9998,3,2.01412E+14,2.01412E+13,1373.84,8,1,100,0,1,999999999
2015,58283,3,2.01412E+13,1,2444.11,47,9998,1,2.01412E+14,2.01412E+13,2444.11,38,2,100,3680,73,40000
2015,58283,3,2.01412E+13,1,2444.11,47,9998,2,2.01412E+14,2.01412E+13,2444.11,57,1,100,0,73,20400
2015,58284,3,2.01412E+13,1,2526.67,47,9998,1,2.01412E+14,2.01412E+13,2526.67,66,2,100,6870,73,19679
2015,58284,3,2.01412E+13,1,2526.67,47,9998,2,2.01412E+14,2.01412E+13,2526.67,69,1,100,170,73,94418
2015,58285,3,2.01503E+13,1,2577.87,47,9998,1,2.01503E+14,2.01503E+13,2577.87,57,1,100,1890,73,61765
2015,58285,3,2.01503E+13,1,2577.87,47,9998,2,2.01503E+14,2.01503E+13,2577.87,47,2,100,7970,73,37241
2015,58285,3,2.01503E+13,1,2577.87,47,9998,3,2.01503E+14,2.01503E+13,2764.45,27,2,100,7870,81,100
2015,58286,3,2.01503E+13,1,2452.78,47,9998,1,2.01503E+14,2.01503E+13,2452.78,80,1,100,0,73,4865
2015,58286,3,2.01503E+13,1,2452.78,47,9998,2,2.01503E+14,2.01503E+13,2452.78,79,2,100,0,73,5861
2015,58288,3,2.01503E+13,1,3865.39,47,9998,1,2.01503E+14,2.01503E+13,3865.39,24,1,100,0,73,60000
2015,58288,3,2.01503E+13,1,3865.39,47,9998,2,2.01503E+14,2.01503E+13,3338.81,71,1,100,4970,73,13032
2015,58290,3,0,1,1531.05,47,9998,1,0,0,1531.05,62,1,100,1870,81,70010
2015,58290,3,0,1,1531.05,47,9998,2,0,0,1333.92,5,1,100,0,1,999999999
2015,58291,3,0,1,1325.45,47,9998,1,0,0,1325.45,29,1,100,2370,73,17000
2015,58291,3,0,1,1325.45,47,9998,2,0,0,1325.45,39,2,100,2370,92,7600
2015,58291,3,0,1,1325.45,47,9998,3,0,0,1618.4,18,2,100,0,60,0
2015,58291,3,0,1,1325.45,47,9998,4,0,0,1144.06,12,1,100,0,1,999999999
2015,58292,3,0,1,1350.06,47,9998,1,0,0,1350.06,40,1,100,3790,92,30217
2015,58292,3,0,1,1350.06,47,9998,2,0,0,1350.06,36,2,100,0,73,0
